Site ,Pollinator,Species,Family,Overview,Date,Group,comment
5,25,Bombus pascuorum,Apidae,Bee,17/06/2024,area,
5,26,Oedemera sp,Oedemeridae,Beetle,17/06/2024,flower,
5,27,Eupeodes corollae,Syrphidae,Fly,17/06/2024,flower,
5,28,NA,Symphyta,Sawfly,17/06/2024,area,
5,29,Dasytes niger,Melyridae,Beetle,17/06/2024,flower,"no picture, phone battery empty"
5,30,Oedemera sp,Oedemeridae,Beetle,17/06/2024,area,"no picture, phone battery empty"
6,1,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,2,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,3,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,4,NA,Calliphoridae,Fly,30/05/2024,flower,
6,5,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,6,Pieris napi,Pieridae,Butterfly,30/05/2024,area,
6,7,Eristalis sp,Syrphidae,Fly,31/05/2024,flower,
6,8,Merodon equestris,Syrphidae,Fly,31/05/2024,flower,
6,9,Eristalis sp,Syrphidae,Fly,31/05/2024,flower,
6,10,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
6,11,Eristalis sp,Syrphidae,Fly,31/05/2024,area,
6,12,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
6,13,Andrena sp,Andrenidae,Bee,31/05/2024,flower,
6,14,Bombus rupestris,Apidae,Bee,31/05/2024,area,
6,15,Merodon equestris,Syrphidae,Fly,31/05/2024,area,
6,16,Zophomyia temula,Tachinidae,Fly,31/05/2024,area,
6,17,Eristalis sp,Syrphidae,Fly,31/05/2024,flower,
6,18,Helophilus trivittatus,Syrphidae,Fly,31/05/2024,area,
6,19,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
6,20,Helophilus pendulus,Syrphidae,Fly,31/05/2024,area,
6,21,Maniola jurtina,Nymphalidae,Butterfly,17/06/2024,area,
6,22,Coenonympha pamphilus,Nymphalidae,Butterfly,17/06/2024,area,
6,23,Plebejus idas,Lycaenidae,Butterfly,17/06/2024,flower,
6,24,Apis mellifera,Apidae,Bee,17/06/2024,area,
6,25,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
6,26,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
6,27,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
6,28,Plebejus idas,Lycaenidae,Butterfly,17/06/2024,area,
6,29,Apis mellifera,Apidae,Bee,17/06/2024,area,
6,30,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,1,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,2,Dasytes niger,Melyridae,Beetle,31/05/2024,flower,
7,3,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,4,Sphaerophoria sp,Syrphidae,Fly,31/05/2024,area,
7,5,Nomada sp,Apidae,Bee,31/05/2024,flower,
7,6,Nomada sp,Apidae,Bee,31/05/2024,flower,
7,7,Apis mellifera,Apidae,Bee,31/05/2024,flower,
7,8,Apis mellifera,Apidae,Bee,31/05/2024,area,
7,9,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,10,Dasytes niger,Melyridae,Beetle,31/05/2024,flower,
7,11,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,12,NA,Mordelidae,Beetle,31/05/2024,area,
7,13,Sphaerophoria sp,Syrphidae,Fly,31/05/2024,area,
7,14,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,15,Apis mellifera,Apidae,Bee,31/05/2024,area,
7,16,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,area,
7,17,Oedemera sp,Oedemeridae,Beetle,31/05/2024,area,
7,18,Bombus ruderarius,Apidae,Bee,31/05/2024,area,
7,19,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
7,20,Cantharis rustica,Cantharidae,Beetle,31/05/2024,area,
7,21,Bombus terrestris,Apidae,Bee,17/06/2024,area,
7,22,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,23,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,24,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,25,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,26,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,27,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,28,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,29,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,30,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
8,1,Lasioglossum sp,Halictidae,Bee,03/06/2024,flower,
8,2,Stenurella melanura,Cerambycidae,Beetle,03/06/2024,flower,
8,3,Helophilus pendulus,Syrphidae,Fly,03/06/2024,area,
8,4,Euclidia glyphica,Erebidae,Moth,03/06/2024,flower,
8,5,Empis tessellata,Empididae,Fly,03/06/2024,flower,
8,6,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,7,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,8,Stenurella melanura,Cerambycidae,Beetle,03/06/2024,flower,
8,9,Euclidia mi,Erebidae,Moth,03/06/2024,area,
8,10,Eupeodes corollae,Syrphidae,Fly,03/06/2024,area,
8,11,Scopula immorata,Geometridae,Butterfly,03/06/2024,area,
8,12,Empis tessellata,Empididae,Fly,03/06/2024,area,
8,13,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,14,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,15,Helophilus pendulus,Syrphidae,Fly,03/06/2024,flower,
8,16,Chrysotoxum festium,Syrphidae,Fly,03/06/2024,area,
8,17,Zophomyia temula,Tachinidae,Fly,03/06/2024,area,
8,18,Melanogaster hirtella,Syrphidae,Fly,03/06/2024,area,
8,19,Calamenta filiformis,Cephidae,Sawfly,03/06/2024,area,
8,20,Agrogorytes mystaceus,Crabronidae,Wasp,03/06/2024,area,
8,21,Myathropa florea,Syrphidae,Fly,17/06/2024,area,
8,22,Empis livida,Empididae,Fly,17/06/2024,flower,
8,23,Stenurella melanura,Cerambycidae,Beetle,17/06/2024,flower,
8,24,Stenurella melanura,Cerambycidae,Beetle,17/06/2024,flower,
8,25,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
8,26,Lasioglossum sp,Halictidae,Bee,17/06/2024,area,
8,27,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
8,28,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
8,29,Empis livida,Empididae,Fly,17/06/2024,flower,
8,30,Empis livida,Empididae,Fly,17/06/2024,flower,
9,1,Alosterna tabacicolor,Cerambycidae,Beetle,03/06/2024,flower,
9,2,Stenurella melanura,Cerambycidae,Beetle,03/06/2024,flower,
9,3,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,4,Lasioglossum sp,Halictidae,Bee,03/06/2024,area,
9,5,NA,NA,Moth,03/06/2024,area,escaped before determination
9,6,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,7,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,8,Coenonympha pamphilus,Nymphalidae,Butterfly,03/06/2024,area,
9,9,Apis mellifera,Apidae,Bee,03/06/2024,area,
9,10,Bombus pascuorum,Apidae,Bee,03/06/2024,area,
9,11,Apis mellifera,Apidae,Bee,03/06/2024,area,
9,12,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,13,Dasytes niger,Melyridae,Beetle,03/06/2024,flower,
9,14,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,15,Oedemera sp,Oedemeridae,Beetle,03/06/2024,flower,
9,16,Dasytes niger,Melyridae,Beetle,03/06/2024,flower,
9,17,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,18,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,19,Dasytes niger,Melyridae,Beetle,03/06/2024,flower,
9,20,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,21,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
9,22,Apis mellifera,Apidae,Bee,17/06/2024,area,
9,23,Apis mellifera,Apidae,Bee,17/06/2024,area,
9,24,Meligethes sp ,Nitidulidae,Beetle,17/06/2024,flower,
9,25,Bombus terrestris,Apidae,Bee,17/06/2024,area,
9,26,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
9,27,Apis mellifera,Apidae,Bee,17/06/2024,area,
9,28,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
9,29,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
9,30,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
10,1,Empis livida,Empididae,Fly,05/06/2024,flower,
10,2,Oedemera sp,Oedemeridae,Beetle,05/06/2024,flower,
10,3,Bombus ruderarius,Apidae,Bee,05/06/2024,area,
10,4,Lasioglossum sp,Halictidae,Bee,05/06/2024,area,
10,5,Empis livida,Empididae,Fly,05/06/2024,flower,
10,6,Eristalis sp,Syrphidae,Fly,05/06/2024,flower,
10,7,Bombus sylvarum,Apidae,Bee,05/06/2024,area,
10,8,Coenonympha pamphilus,Nymphalidae,Butterfly,05/06/2024,area,
10,9,Oedemera sp,Oedemeridae,Beetle,05/06/2024,flower,
10,10,NA,Curculionidae,Beetle,05/06/2024,flower,
10,11,Lucilia sp,Calliphoridae,Fly,05/06/2024,flower,
10,12,Andrena sp,Andrenidae,Bee,05/06/2024,flower,
10,13,Eupeodes corollae,Syrphidae,Fly,05/06/2024,area,
10,14,Ochlodes sylvanus,Hesperiidae,Butterfly,05/06/2024,area,
10,15,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,16,Eupeodes corollae,Syrphidae,Fly,05/06/2024,flower,
10,17,Apis mellifera,Apidae,Bee,05/06/2024,flower,
10,18,Empis livida,Empididae,Fly,05/06/2024,flower,
10,19,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,20,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,21,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,22,Andrena sp,Andrenidae,Bee,05/06/2024,flower,
11,1,Empis livida,Empididae,Fly,07/06/2024,flower,
11,2,Eristalis sp,Syrphidae,Fly,07/06/2024,flower,
11,3,Empis livida,Empididae,Fly,07/06/2024,flower,
11,4,Eristalis sp,Syrphidae,Fly,07/06/2024,flower,
11,5,Phyllopertha horticola,Scarabaeidae,Beetle,07/06/2024,flower,
11,6,Bombus terrestris,Apidae,Bee,07/06/2024,flower,
11,7,Eristalis sp,Syrphidae,Fly,07/06/2024,area,
11,8,Helophilus trivittatus,Syrphidae,Fly,07/06/2024,flower,
11,9,Empis livida,Empididae,Fly,07/06/2024,flower,
11,10,Eristalis sp,Syrphidae,Fly,07/06/2024,flower,
11,11,Merodon equestris,Syrphidae,Fly,07/06/2024,flower,
11,12,Lasioglossum sp,Halictidae,Bee,07/06/2024,area,
11,13,Lasioglossum sp,Halictidae,Bee,07/06/2024,area,
11,14,Eupeodes corollae,Syrphidae,Fly,07/06/2024,area,
11,15,Platycheirus albimanus,Syrphidae,Fly,07/06/2024,area,
11,16,Lasioglossum sp,Halictidae,Bee,07/06/2024,area,
11,17,Malachius bipustulatus,Melyridae,Beetle,07/06/2024,area,
11,18,Eupeodes corollae,Syrphidae,Fly,07/06/2024,area,
11,19,Eupeodes corollae,Syrphidae,Fly,07/06/2024,area,
11,20,NA,Syrphidae,Fly,07/06/2024,area,escaped before determination
11,21,Bombus pratorum,Apidae,Bee,20/06/2024,flower,
11,22,Eristalis sp,Syrphidae,Fly,20/06/2024,flower,
11,23,Apis mellifera,Apidae,Bee,20/06/2024,flower,
11,24,Bombus terrestris,Apidae,Bee,20/06/2024,flower,
11,25,Eupeodes corollae,Syrphidae,Fly,20/06/2024,area,
11,26,Eupeodes corollae,Syrphidae,Fly,20/06/2024,area,
11,27,Bombus terrestris,Apidae,Bee,20/06/2024,area,
11,28,Bombus terrestris,Apidae,Bee,20/06/2024,flower,
11,29,Bombus pascuorum,Apidae,Bee,20/06/2024,area,
11,30,Bombus terrestris,Apidae,Bee,20/06/2024,area,
12,1,Eristalis sp,Syrphidae,Fly,07/06/2024,flower,
12,2,Stenurella melanura,Cerambycidae,Beetle,07/06/2024,flower,
12,3,Apis mellifera,Apidae,Bee,07/06/2024,flower,
12,4,Empis livida,Empididae,Fly,07/06/2024,flower,
12,5,Empis tessellata,Empididae,Fly,07/06/2024,flower,
12,6,Stenurella melanura,Cerambycidae,Beetle,07/06/2024,flower,
12,7,Apis mellifera,Apidae,Bee,07/06/2024,flower,
12,8,Ochlodes sylvanus,Hesperiidae,Butterfly,07/06/2024,area,
12,9,Bombus pascuorum,Apidae,Bee,07/06/2024,area,
12,10,Stictoleptura maculicornis,Cerambycidae,Beetle,07/06/2024,area,
12,11,Stenurella melanura,Cerambycidae,Beetle,07/06/2024,area,
12,12,Polyommatus icarus,Lycaenidae,Butterfly,07/06/2024,area,
12,13,Lasioglossum sp,Halictidae,Bee,07/06/2024,area,
12,14,Stenurella melanura,Cerambycidae,Beetle,07/06/2024,area,
12,15,Apis mellifera,Apidae,Bee,07/06/2024,flower,
12,16,Empis tessellata,Empididae,Fly,07/06/2024,area,
12,17,Empis tessellata,Empididae,Fly,07/06/2024,flower,
12,18,Bombus pratorum,Apidae,Bee,07/06/2024,flower,
12,19,Sicus ferrugineus,Conopidae,Fly,07/06/2024,area,
12,20,Bombus terrestris,Apidae,Bee,07/06/2024,area,
12,21,Pieris napi,Pieridae,Butterfly,19/06/2024,area,
12,22,Eupeodes corollae,Syrphidae,Fly,19/06/2024,area,
12,23,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,flower,
12,24,Bombus pascuorum,Apidae,Bee,19/06/2024,area,
12,25,Coelioxys sp,Megachilidae,Bee,19/06/2024,flower,
12,26,Helophilus pendulus,Syrphidae,Fly,19/06/2024,flower,
12,27,Coenonympha pamphilus,Nymphalidae,Fly,19/06/2024,area,
12,28,Apis mellifera,Apidae,Bee,19/06/2024,flower,
12,29,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,area,
12,30,Dasytes niger,Melyridae,Beetle,19/06/2024,flower,
13,1,Apis mellifera,Apidae,Bee,10/06/2024,flower,
13,2,Stenurella melanura,Cerambycidae,Beetle,10/06/2024,flower,
13,3,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,4,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,5,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,6,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,7,Helophilus pendulus,Syrphidae,Fly,10/06/2024,flower,
13,8,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,9,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,10,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,11,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,12,Bombus terrestris,Apidae,Bee,10/06/2024,area,
13,13,Helophilus pendulus,Syrphidae,Fly,10/06/2024,flower,
13,14,Andrena sp,Andrenidae,Bee,10/06/2024,flower,
13,15,Lasioglossum sp,Halictidae,Bee,10/06/2024,flower,
13,16,Apis mellifera,Apidae,Bee,10/06/2024,area,
13,17,Meligethes sp,Nitidulidae,Beetle,10/06/2024,flower,
13,18,Eupeodes corollae,Syrphidae,Fly,10/06/2024,flower,
13,19,Apis mellifera,Apidae,Bee,17/06/2024,flower,
13,20,Apis mellifera,Apidae,Bee,17/06/2024,area,
13,21,Apis mellifera,Apidae,Bee,17/06/2024,area,
13,22,Apis mellifera,Apidae,Bee,17/06/2024,area,
13,23,Andrena sp,Andrenidae,Bee,17/06/2024,area,
13,24,Apis mellifera,Apidae,Bee,17/06/2024,area,
13,25,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
13,26,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
13,27,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
13,28,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
13,29,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
13,30,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
14,1,NA,Empididae,Fly,12/06/2024,area,Empididae? Muscidae? Really bad weather all day!
14,2,NA,Empididae,Fly,12/06/2024,flower,Empididae? Muscidae?
14,3,NA,Empididae,Fly,12/06/2024,area,Empididae? Muscidae?
14,4,NA,Empididae,Fly,12/06/2024,flower,Empididae? Muscidae?
14,5,NA,Empididae,Fly,12/06/2024,area,Empididae? Muscidae?
14,6,NA,Empididae,Fly,12/06/2024,flower,Empididae? Muscidae?
14,7,NA,Empididae,Fly,12/06/2024,flower,Empididae? Muscidae?
14,8,NA,Empididae,Fly,12/06/2024,flower,Empididae? Muscidae?
14,9,NA,Empididae,Fly,12/06/2024,area,Empididae? Muscidae?
14,10,NA,Empididae,Fly,12/06/2024,area,Empididae? Muscidae?
14,11,Bombus hortorum,Apidae,Bee,12/06/2024,flower,
14,12,NA,NA,Fly,12/06/2024,flower,green-ish fly escaped before determination
14,13,Meligethes sp,Nitidulidae,Beetle,12/06/2024,flower,
14,14,Bombus ruderarius,Apidae,Bee,12/06/2024,area,
14,15,Meligethes sp,Nitidulidae,Beetle,18/06/2024,flower,
14,16,Meligethes sp,Nitidulidae,Beetle,18/06/2024,flower,
14,17,Meligethes sp,Nitidulidae,Beetle,18/06/2024,flower,
14,18,Meligethes sp,Nitidulidae,Beetle,18/06/2024,flower,
14,19,Meligethes sp,Nitidulidae,Beetle,18/06/2024,flower,
14,20,Meligethes sp,Nitidulidae,Beetle,18/06/2024,flower,
14,21,Meligethes sp,Nitidulidae,Beetle,18/06/2024,flower,
14,22,Parhelophilus consimilis,Syrphidae,Fly,18/06/2024,area,
14,23,Euclidia glyphica,Erebidae,Moth,18/06/2024,area,
14,24,Bombus ruderarius,Apidae,Bee,18/06/2024,area,
14,25,Eupeodes corollae,Syrphidae,Fly,18/06/2024,area,
